ElapsedTime,Time,01.TargetTemp,01.State
12295635,2010-01-05T04:19:34.750Z,850,0
12305637,2010-01-05T04:19:44.752Z,850,0
12315641,2010-01-05T04:19:54.756Z,850,0
12325645,2010-01-05T04:20:04.760Z,850,0
12335649,2010-01-05T04:20:14.764Z,850,0
12345653,2010-01-05T04:20:24.768Z,850,0
12355660,2010-01-05T04:20:34.775Z,850,0
12365664,2010-01-05T04:20:44.779Z,850,0
12375667,2010-01-05T04:20:54.782Z,850,0
12385673,2010-01-05T04:21:04.788Z,850,0
12395675,2010-01-05T04:21:14.790Z,850,0
12405682,2010-01-05T04:21:24.797Z,850,0
12415686,2010-01-05T04:21:34.801Z,850,0
12425691,2010-01-05T04:21:44.806Z,850,0
12435694,2010-01-05T04:21:54.809Z,850,0
12445697,2010-01-05T04:22:04.812Z,850,0
12455704,2010-01-05T04:22:14.819Z,850,0
12465713,2010-01-05T04:22:24.828Z,850,0
12475710,2010-01-05T04:22:34.825Z,850,0
12485716,2010-01-05T04:22:44.831Z,850,0
12495719,2010-01-05T04:22:54.834Z,850,0
12505723,2010-01-05T04:23:04.838Z,850,0
12515728,2010-01-05T04:23:14.843Z,850,0
12525732,2010-01-05T04:23:24.847Z,850,0
12535738,2010-01-05T04:23:34.853Z,850,0
12545742,2010-01-05T04:23:44.857Z,850,0
12555748,2010-01-05T04:23:54.863Z,850,0
12565753,2010-01-05T04:24:04.868Z,850,0
12575756,2010-01-05T04:24:14.871Z,850,0
12585759,2010-01-05T04:24:24.874Z,850,0
12595764,2010-01-05T04:24:34.879Z,850,0
12605770,2010-01-05T04:24:44.885Z,850,0
12615773,2010-01-05T04:24:54.888Z,850,0
12625778,2010-01-05T04:25:04.893Z,850,0
12635781,2010-01-05T04:25:14.896Z,850,0
12645785,2010-01-05T04:25:24.900Z,850,0
12655790,2010-01-05T04:25:34.905Z,850,0
12665798,2010-01-05T04:25:44.913Z,850,0
12675810,2010-01-05T04:25:54.925Z,850,0
12685819,2010-01-05T04:26:04.934Z,850,0
12695816,2010-01-05T04:26:14.931Z,850,0
12705823,2010-01-05T04:26:24.938Z,850,0
12715827,2010-01-05T04:26:34.942Z,850,0
12725835,2010-01-05T04:26:44.950Z,850,0
12735838,2010-01-05T04:26:54.953Z,850,0
12745840,2010-01-05T04:27:04.955Z,850,0
12755847,2010-01-05T04:27:14.962Z,850,0
12765851,2010-01-05T04:27:24.966Z,850,0
12775855,2010-01-05T04:27:34.970Z,850,0
12785860,2010-01-05T04:27:44.975Z,850,0
12795861,2010-01-05T04:27:54.976Z,850,0
12805867,2010-01-05T04:28:04.982Z,850,0
12815871,2010-01-05T04:28:14.986Z,850,0
12825877,2010-01-05T04:28:24.992Z,850,0
12835878,2010-01-05T04:28:34.993Z,850,0
12845885,2010-01-05T04:28:45.000Z,850,0
12855890,2010-01-05T04:28:55.005Z,850,0
12865905,2010-01-05T04:29:05.020Z,850,0
12875926,2010-01-05T04:29:15.041Z,850,0
12885931,2010-01-05T04:29:25.046Z,850,0
12895935,2010-01-05T04:29:35.050Z,850,0
12905939,2010-01-05T04:29:45.054Z,850,0
12915947,2010-01-05T04:29:55.062Z,850,0
12925950,2010-01-05T04:30:05.065Z,850,0
12935953,2010-01-05T04:30:15.068Z,850,0
12945960,2010-01-05T04:30:25.075Z,850,0
12955962,2010-01-05T04:30:35.077Z,850,0
12965973,2010-01-05T04:30:45.088Z,850,0
12975974,2010-01-05T04:30:55.089Z,850,0
12985977,2010-01-05T04:31:05.092Z,850,0
12995981,2010-01-05T04:31:15.096Z,850,0
13005982,2010-01-05T04:31:25.097Z,850,0
13015988,2010-01-05T04:31:35.103Z,850,0
13025991,2010-01-05T04:31:45.106Z,850,0
13035995,2010-01-05T04:31:55.110Z,850,0
13046002,2010-01-05T04:32:05.117Z,850,0
13056006,2010-01-05T04:32:15.121Z,850,0
13066011,2010-01-05T04:32:25.126Z,850,0
13076013,2010-01-05T04:32:35.128Z,850,0
13086026,2010-01-05T04:32:45.141Z,850,0
13096023,2010-01-05T04:32:55.138Z,850,0
13106028,2010-01-05T04:33:05.143Z,850,0
13116037,2010-01-05T04:33:15.152Z,850,0
13126039,2010-01-05T04:33:25.154Z,850,0
13136040,2010-01-05T04:33:35.155Z,850,0
13146045,2010-01-05T04:33:45.160Z,850,0
13156048,2010-01-05T04:33:55.163Z,850,0
13166055,2010-01-05T04:34:05.170Z,850,0
13176062,2010-01-05T04:34:15.177Z,850,0
13186064,2010-01-05T04:34:25.179Z,850,0
13196069,2010-01-05T04:34:35.184Z,850,0
13206074,2010-01-05T04:34:45.189Z,850,0
13216079,2010-01-05T04:34:55.194Z,850,0
13226080,2010-01-05T04:35:05.195Z,850,0
13236086,2010-01-05T04:35:15.201Z,850,0
13246092,2010-01-05T04:35:25.207Z,850,0
13256095,2010-01-05T04:35:35.210Z,850,0
13266098,2010-01-05T04:35:45.213Z,850,0
13276101,2010-01-05T04:35:55.216Z,850,0
13286108,2010-01-05T04:36:05.223Z,850,0
13296111,2010-01-05T04:36:15.226Z,850,0
13306116,2010-01-05T04:36:25.231Z,850,0
13316123,2010-01-05T04:36:35.238Z,850,0
13326123,2010-01-05T04:36:45.238Z,850,0
13336130,2010-01-05T04:36:55.245Z,850,0
13346132,2010-01-05T04:37:05.247Z,850,0
13356138,2010-01-05T04:37:15.253Z,850,0
13366140,2010-01-05T04:37:25.255Z,850,0
13376145,2010-01-05T04:37:35.260Z,850,0
13386164,2010-01-05T04:37:45.279Z,850,0
13396164,2010-01-05T04:37:55.279Z,850,0
13406171,2010-01-05T04:38:05.286Z,850,0
13416173,2010-01-05T04:38:15.288Z,850,0
13426181,2010-01-05T04:38:25.296Z,850,0
13436182,2010-01-05T04:38:35.297Z,850,0
13446187,2010-01-05T04:38:45.302Z,850,0
13456194,2010-01-05T04:38:55.309Z,850,0
13466197,2010-01-05T04:39:05.312Z,850,0
13476200,2010-01-05T04:39:15.315Z,850,0
13486207,2010-01-05T04:39:25.322Z,850,0
13496208,2010-01-05T04:39:35.323Z,850,0
13506212,2010-01-05T04:39:45.327Z,850,0
13516230,2010-01-05T04:39:55.345Z,850,0
13526240,2010-01-05T04:40:05.355Z,850,0
13536248,2010-01-05T04:40:15.363Z,850,0
13546250,2010-01-05T04:40:25.365Z,850,0
13556254,2010-01-05T04:40:35.369Z,850,0
13566257,2010-01-05T04:40:45.372Z,850,0
13576263,2010-01-05T04:40:55.378Z,850,0
13586268,2010-01-05T04:41:05.383Z,850,0
13596274,2010-01-05T04:41:15.389Z,850,0
13606275,2010-01-05T04:41:25.390Z,850,0
13616292,2010-01-05T04:41:35.407Z,850,0
13626298,2010-01-05T04:41:45.413Z,850,0
13636299,2010-01-05T04:41:55.414Z,850,0
13646307,2010-01-05T04:42:05.422Z,850,0
13656311,2010-01-05T04:42:15.426Z,850,0
13666315,2010-01-05T04:42:25.430Z,850,0
13676322,2010-01-05T04:42:35.437Z,850,0
13686321,2010-01-05T04:42:45.436Z,850,0
